"AccSpeciesName","AccSpeciesID","Genus","SpeciesEpithet","Family","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","param_count_before","param_count_after","PFT","spec.name","scientificName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","family","taxonID"
"Acacia auriculiformis",185,"Acacia","auriculiformis","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Acacia auriculiformis","Acacia auriculiformis","Accepted",FALSE,"A.Cunn. ex Benth.","Acacia","Fabaceae","wfo-0000173754"
"Acacia dealbata",279,"Acacia","dealbata","Fabaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Acacia dealbata","Acacia dealbata","Accepted",FALSE,"Link","Acacia","Fabaceae","wfo-0000192338"
"Acacia saligna",585,"Acacia","saligna","Fabaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Acacia saligna","Acacia saligna","Accepted",FALSE,"(Labill.) H.L.Wendl.","Acacia","Fabaceae","wfo-0001054072"
"Acalypha glabrata",726,"Acalypha","glabrata","Euphorbiaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Acalypha glabrata","Acalypha glabrata","Accepted",FALSE,"Thunb.","Acalypha","Euphorbiaceae","wfo-0000941130"
"Adenia kigogoensis",72639,"Adenia","kigogoensis","Passifloraceae","tree","broadleaved","evergreen",NA,0,3,"BET-Tr","Adenia kigogoensis","Adenia kigogoensis","Accepted",FALSE,"Hearn","Adenia","Passifloraceae","wfo-0000508292"
"Adenia litoralis",72640,"Adenia","litoralis","Passifloraceae","tree","broadleaved","evergreen",NA,0,3,"BET-Tr","Adenia litoralis","Adenia litoralis","Accepted",FALSE,"Hearn","Adenia","Passifloraceae","wfo-0000508293"
"Afrocarpus falcatus",1599,"Afrocarpus","falcatus","Podocarpaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Afrocarpus falcatus","Afrocarpus falcatus","Accepted",FALSE,"(Thunb.) C.N.Page","Afrocarpus","Podocarpaceae","wfo-0000522640"
"Afrostyrax lepidophyllus",1608,"Afrostyrax","lepidophyllus","Huaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Afrostyrax lepidophyllus","Afrostyrax lepidophyllus","Accepted",FALSE,"Mildbr.","Afrostyrax","Huaceae","wfo-0000522690"
"Afzelia africana",1611,"Afzelia","africana","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Afzelia africana","Afzelia africana","Accepted",FALSE,"Sm. ex Pers.","Afzelia","Fabaceae","wfo-0000213207"
"Afzelia bipindensis",1613,"Afzelia","bipindensis","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Afzelia bipindensis","Afzelia bipindensis","Accepted",FALSE,"Harms","Afzelia","Fabaceae","wfo-0000211767"
