AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Acacia auriculiformis,2,185,Acacia,auriculiformis,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Acacia dealbata,10,279,Acacia,dealbata,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Acacia saligna,33,585,Acacia,saligna,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Acalypha glabrata,4,726,Acalypha,glabrata,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Adenia kigogoensis,1,72639,Adenia,kigogoensis,Passifloraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Adenia litoralis,1,72640,Adenia,litoralis,Passifloraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Afrocarpus falcatus,27,1599,Afrocarpus,falcatus,Podocarpaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Afrostyrax lepidophyllus,1,1608,Afrostyrax,lepidophyllus,Huaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Afzelia africana,13,1611,Afzelia,africana,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Afzelia bipindensis,5,1613,Afzelia,bipindensis,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Agarista salicifolia,61,1651,Agarista,salicifolia,Ericaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Aidia micrantha,4,2121,Aidia,micrantha,Rubiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Albizia adianthifolia,24,2209,Albizia,adianthifolia,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Albizia gummifera,53,2233,Albizia,gummifera,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Albizia tomentosa,12,2273,Albizia,tomentosa,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Alchornea cordifolia,2,2394,Alchornea,cordifolia,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Alchornea laxiflora,4,2403,Alchornea,laxiflora,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Allanblackia floribunda,10,2484,Allanblackia,floribunda,Clusiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Allanblackia stuhlmannii,4,2487,Allanblackia,stuhlmannii,Clusiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Allophylus africanus,13,2642,Allophylus,africanus,Sapindaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Allophylus pervillei,1,2667,Allophylus,pervillei,Sapindaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Aloe littoralis,1,2783,Aloe,littoralis,Aloaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Aloe thraskii,1,2821,Aloe,thraskii,Aloaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Alstonia boonei,4,2945,Alstonia,boonei,Apocynaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Amphitecna tuxtlensis,18,3317,Amphitecna,tuxtlensis,Bignoniaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Andira inermis,2,3498,Andira,inermis,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Angylocalyx pynaertii,2,3784,Angylocalyx,pynaertii,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Anisophyllea boehmii,2,3832,Anisophyllea,boehmii,Anisophylleaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Annona senegalensis,21,3884,Annona,senegalensis,Annonaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Anonidium mannii,47,3914,Anonidium,mannii,Annonaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Anthocleista grandiflora,2,3988,Anthocleista,grandiflora,Loganiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Anthonotha fragrans,12,4006,Anthonotha,fragrans,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Anthonotha macrophylla,17,4008,Anthonotha,macrophylla,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Anthyllis henoniana,1,4065,Anthyllis,henoniana,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Antiaris toxicaria,66,4075,Antiaris,toxicaria,Moraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Antidesma membranaceum,11,4091,Antidesma,membranaceum,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Antidesma vogelianum,2,4106,Antidesma,vogelianum,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Antrocaryon nannanii,15,4140,Antrocaryon,nannanii,Anacardiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Aphloia theiformis,88,4203,Aphloia,theiformis,Flacourtiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Apodocephala pauciflora,40,4246,Apodocephala,pauciflora,Asteraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Apodytes dimidiata,27,4249,Apodytes,dimidiata,Icacinaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Aspidosperma megalocarpon,21,5602,Aspidosperma,megalocarpon,Apocynaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Asteranthe asterias,3,5781,Asteranthe,asterias,Annonaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Aulacocalyx jasminiflora,6,6221,Aulacocalyx,jasminiflora,Rubiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Baikiaea insignis,15,6618,Baikiaea,insignis,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Baikiaea robynsii,1,6620,Baikiaea,robynsii,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Balanites aegyptiaca,48,6637,Balanites,aegyptiaca,Balanitaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Balanites wilsoniana,5,6646,Balanites,wilsoniana,Balanitaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Baphia massaiensis,9,6883,Baphia,massaiensis,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Baphia wollastonii,2,6887,Baphia,wollastonii,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Barteria fistulosa,4,6928,Barteria,fistulosa,Passifloraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Bauhinia petersiana,22,7011,Bauhinia,petersiana,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Beilschmiedia velutina,24,7157,Beilschmiedia,velutina,Lauraceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Bellucia grossularioides,17,7175,Bellucia,grossularioides,Melastomataceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Berchemia zeyheri,34,7235,Berchemia,zeyheri,Rhamnaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Berlinia auriculata,2,7265,Berlinia,auriculata,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Bersama abyssinica,18,7281,Bersama,abyssinica,Melianthaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Blighia sapida,45,7568,Blighia,sapida,Sapindaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Blighia welwitschii,41,7571,Blighia,welwitschii,Sapindaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Boscia angustifolia,2,7780,Boscia,angustifolia,Capparaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Boscia coriacea,4,7782,Boscia,coriacea,Capparaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Boscia mossambicensis,2,7788,Boscia,mossambicensis,Capparaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Boscia salicifolia,2,7790,Boscia,salicifolia,Capparaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Boscia senegalensis,14,7791,Boscia,senegalensis,Capparaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Bourreria petiolaris,2,7893,Bourreria,petiolaris,Boraginaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Brabejum stellatifolium,9,7946,Brabejum,stellatifolium,Proteaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Brachylaena discolor,8,8126,Brachylaena,discolor,Asteraceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Brachylaena huillensis,4,8127,Brachylaena,huillensis,Asteraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Brachylaena neriifolia,25,8130,Brachylaena,neriifolia,Asteraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Brachystegia floribunda,4,66113,Brachystegia,floribunda,Fabaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Bridelia cathartica,65,8322,Bridelia,cathartica,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Bridelia tulasneana,20,8343,Bridelia,tulasneana,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Brosimum alicastrum,10,8570,Brosimum,alicastrum,Moraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Buddleja saligna,18,8771,Buddleja,saligna,Buddlejaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Burchellia bubalina,20,66170,Burchellia,bubalina,Rubiaceae,shrub/tree,broadleaved,evergreen,,1,3,BET-Tr
Caesalpinia decapetala,1,9032,Caesalpinia,decapetala,Fabaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Calodendrum capense,9,9649,Calodendrum,capense,Rutaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Caloncoba welwitschii,6,9656,Caloncoba,welwitschii,Flacourtiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Calotropis procera,5,9757,Calotropis,procera,Asclepiadaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Canarium madagascariense,40,10056,Canarium,madagascariense,Burseraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Canarium schweinfurtii,13,10074,Canarium,schweinfurtii,Burseraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Canthium inerme,30,10127,Canthium,inerme,Rubiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Canthium oligocarpum,8,10138,Canthium,oligocarpum,Rubiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Carapa procera,47,10276,Carapa,procera,Meliaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Carica papaya,18,10716,Carica,papaya,Caricaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Casearia battiscombei,12,10880,Casearia,battiscombei,Flacourtiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cassipourea euryoides,2,11041,Cassipourea,euryoides,Rhizophoraceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Cassipourea gummiflua,2,11046,Cassipourea,gummiflua,Rhizophoraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cassipourea malosana,4,11047,Cassipourea,malosana,Rhizophoraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cassipourea mollis,2,11048,Cassipourea,mollis,Rhizophoraceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Cassipourea ruwensorensis,5,11052,Cassipourea,ruwensorensis,Rhizophoraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Catunaregam nilotica,2,11231,Catunaregam,nilotica,Rubiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cavacoa quintasii,34,11254,Cavacoa,quintasii,Euphorbiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cecropia obtusifolia,12,11346,Cecropia,obtusifolia,Cecropiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cephalosphaera usambarensis,4,11748,Cephalosphaera,usambarensis,Myristicaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Chassalia umbraticola,2,12110,Chassalia,umbraticola,Rubiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Chrysophyllum africanum,32,12645,Chrysophyllum,africanum,Sapotaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
